txn_id,user_id,timestamp,merchant,instrument,intent,amount,order_type,channel,is_fraud
d5057283-0836-421c-aaea-9e9e04420439,465e12a8-8656-474f-af6d-f30c893a2e6c,2020-01-01 22:42:00,Robinhood,META,buy,1407.8,market,mobile,0
f1059fc4-69cc-43d8-8c1b-c1bcc0b7948c,c8a462b2-1223-461c-905e-a5abedf15286,2020-01-01 06:33:00,Fidelity,MSFT,sell,3950.24,market,mobile,0
4a868185-580a-43a4-a995-0404c9145d93,399b6466-fed4-4915-92a1-dc4ba54dde60,2020-01-01 21:10:00,Wealthfront,MSFT,sell,508.87,market,web,0
4b75d6e9-711c-42e7-8aa3-4c08bb1edd23,1c831359-08af-4dcd-984c-1fdb855be9ed,2020-01-01 05:00:00,Fidelity,MSFT,buy,179.52,market,mobile,0
a16c3d51-5010-4d97-986e-7c3d6bf31cbf,c7af9814-d132-4095-9bb0-eccfce3b19ea,2020-01-01 19:36:00,Robinhood,AMZN,sell,2757.25,limit,API,0
346d76f8-c9a5-495b-9879-c298b43d5232,b890a349-3a09-491a-808e-56b998771741,2020-01-01 22:12:00,TD Ameritrade,META,buy,62.4,limit,mobile,0
c0d63fa1-c23b-41a1-b00c-8a993dfa4e2c,e6008cb1-3a90-4f91-a899-c985c4edcca8,2020-01-01 04:36:00,TD Ameritrade,MSFT,sell,5359.29,limit,API,0
e55776f4-5b9c-48b1-9337-8feeb58822ea,25444e0c-7ef1-499b-9827-a0e1c91680cb,2020-01-01 18:03:00,TD Ameritrade,AMZN,sell,602.04,market,mobile,0
fa7ff721-9d1b-4b57-aacc-2ae9abdc6822,6e1e7661-8c8d-4998-ac9c-1380c2c18d49,2020-01-01 18:26:00,Robinhood,MSFT,buy,1088.26,limit,web,0
70a200d7-6662-489c-be1b-0e21960ac20c,9f30325e-3fea-49de-94ed-787a182f9875,2020-01-01 21:06:00,Fidelity,AAPL,sell,1696.61,market,web,0
078693ab-2857-4da2-991a-9378ef46e508,5364c996-a7b9-4f57-8679-7ecdc3d5fc7d,2020-01-02 07:58:00,Robinhood,AMZN,buy,2839.11,market,mobile,0
59e59666-72a7-4c1f-9ec6-75fb96232cca,62ff08b0-49c4-4243-b79e-a9377404f51f,2020-01-02 18:33:00,Wealthfront,GOOG,sell,1036.55,market,API,0
cd1e6f3a-85c7-43c9-9e6a-5e162d87fd92,5d3c53ef-6814-461a-a6fc-60f2e26f7977,2020-01-02 13:55:00,Robinhood,GOOG,sell,1826.8,market,API,0
3558510e-fbf2-47d9-95b9-25d795b4859d,44a5f890-63ac-484e-888e-b41287476773,2020-01-02 01:27:00,TD Ameritrade,AAPL,sell,668.21,market,mobile,0
1c37303c-99cb-4f45-bd75-8d75abe8f3e5,eacdc4c8-bcb1-4a23-ab67-6e3dab22851a,2020-01-02 02:29:00,Fidelity,AAPL,buy,2692.51,market,mobile,0
318bbb0e-e068-4797-ac0d-6cacaee90994,1ecb49fc-efc7-4000-b0aa-6339d78ce312,2020-01-02 18:01:00,Wealthfront,MSFT,buy,2806.0,limit,API,0
b3809b64-d8d1-43ad-a991-2e5777f195f7,f11b8a2f-1381-4e1e-a806-f13d6f487f5e,2020-01-02 01:40:00,Wealthfront,AAPL,buy,201.79,limit,web,0
6b63e6c8-7f46-429f-be4b-e4310dbb1984,89bc10b0-cc93-401d-a6e5-cc7bcc2adaae,2020-01-02 00:25:00,Robinhood,AMZN,sell,10111.89,market,web,0
7d2ce403-bea1-4a6f-b69d-e760be3af002,ef36d076-d6b1-4c5d-ab89-f4b60266a863,2020-01-02 11:16:00,Fidelity,META,sell,1089.86,market,web,0
99df8ffb-318f-44ee-adf6-8112a5d26b7c,be465a76-05cf-4b1d-87af-5e56e97d9e97,2020-01-02 12:30:00,TD Ameritrade,META,buy,3458.25,market,mobile,0
e513d582-3d2e-48e3-ab5d-954261ab19ca,c7b92922-8110-40e6-886e-eaedf591717c,2020-01-03 17:59:00,Fidelity,AAPL,buy,390.46,limit,web,0
3332d07c-ec6c-450b-a498-23544ea92679,4d7bf359-3f75-4bbc-9e03-acd7ce0b2e0b,2020-01-03 04:58:00,Robinhood,GOOG,sell,104.98,market,mobile,0
d108181e-5eab-471a-8127-f45cdb01f330,842fb647-378a-49a8-85d4-b088b836f392,2020-01-03 19:02:00,Wealthfront,MSFT,buy,898.37,market,mobile,0
02b3bec3-8991-4c4e-a9ea-0f4aec085a92,239ebd31-c5de-4053-8883-5ad7bb7b93a9,2020-01-03 03:30:00,Fidelity,AMZN,buy,1120.64,limit,web,0
27ccc4cf-64da-490f-b796-b1482d93da6d,643bd70a-11df-4209-988c-2598f448185d,2020-01-03 00:35:00,Wealthfront,MSFT,buy,2373.67,market,mobile,0
21f92d7d-38c0-4229-9273-a948b545b226,78533c41-b396-44e3-96f0-37201677f64a,2020-01-03 06:10:00,Robinhood,META,buy,10478.42,limit,mobile,0
0264cf70-99e9-4878-97e8-c6d8ad8815d1,e386d8d6-40d7-468f-b801-0857dbd5211b,2020-01-03 09:53:00,Robinhood,GOOG,sell,8415.28,market,web,0
82949b61-d2f0-4c5d-82ed-fff0136080bc,ecf891b9-c025-42a5-84e3-84d5a783667b,2020-01-03 14:56:00,Wealthfront,META,buy,2733.16,market,web,0
cc15a2a0-b367-45fd-b3e4-442584312605,0d1adfea-8e28-4cef-af7b-dd83d3ce9bb7,2020-01-03 17:56:00,Robinhood,META,buy,277.97,market,API,0
cf262343-133f-437a-a025-dae57ba224b4,a4d7f7dc-00e0-44ef-b082-1f6c0fbc2633,2020-01-03 08:33:00,TD Ameritrade,AMZN,sell,138.85,market,web,0
9c99d156-38f8-4739-9fc9-829680e9bf4f,73cefc39-9edf-4bbb-b9c5-e2bf5a2ec814,2020-01-04 15:45:00,TD Ameritrade,MSFT,sell,1476.39,limit,web,0
82fdf381-fb72-4443-bc8f-52c95f427a0a,e3f4be6f-79fc-4abc-8acd-8a792f788870,2020-01-04 05:26:00,Robinhood,AAPL,buy,5293.67,limit,API,0
9bea8e92-37b6-4c56-9c78-e74d91f83b4c,b32f02dc-a835-46d4-93a8-51628dcb282e,2020-01-04 14:25:00,Wealthfront,AMZN,sell,989.41,limit,mobile,0
1d0870d2-0b3f-450f-b8d6-544e91185257,3974d543-c5ae-41b7-9b5e-baddec6daeb0,2020-01-04 10:37:00,Fidelity,MSFT,buy,455.69,limit,web,0
c3500687-04e3-4442-a6b8-84ea7f111e59,9e0230da-fcd2-46f0-9094-dc54cc6c4c78,2020-01-04 06:41:00,Fidelity,AMZN,sell,232.43,market,web,0
4a63fe76-43e2-41b1-82be-09b601f1a5dd,44a91dae-7f0c-4c2e-a78a-6279e80efe85,2020-01-04 09:30:00,TD Ameritrade,MSFT,sell,4438.45,market,mobile,0
4fcd78dd-9aa3-4d52-bd26-1c9bf284fdb0,96709523-ad1c-4cd0-9b5c-a02b31ffc37e,2020-01-04 14:05:00,Robinhood,AMZN,buy,16.61,market,API,0
346bbbbc-6d5d-4e97-b750-9aefdfab3932,81ab1d86-d250-4af8-a44d-7f47057151a2,2020-01-04 02:10:00,TD Ameritrade,AMZN,buy,3681.29,limit,web,0
d3793000-edfe-48af-9dbf-6057a743274e,ebdc3132-dccd-43ba-a994-af8acc637810,2020-01-04 22:35:00,Fidelity,AMZN,sell,4425.64,market,API,0
15a610fb-d2b7-4cdc-992b-fb7845f9855b,c76a246f-1268-4747-ac81-6eb2e8eca6da,2020-01-04 17:14:00,Robinhood,AMZN,sell,1331.68,market,API,0
9a9c3bcf-1447-4b56-88c1-f28c04282aa8,79bf34f6-303f-4a44-9aa1-86a8ac4ed208,2020-01-05 16:22:00,Wealthfront,AAPL,sell,5965.59,limit,web,0
6b8a618f-faa6-4479-9886-ad6acdae99c5,066768c9-f17e-4d16-a139-ab2053dd57ba,2020-01-05 23:56:00,Fidelity,AMZN,buy,1205.46,limit,web,0
4a57a8b2-aed4-4e92-a413-30128f0a0224,fbad8dde-6bd8-4ddf-8ead-76ff26e32a4c,2020-01-05 08:52:00,Fidelity,AMZN,sell,1117.47,market,API,0
